"","revenue","vote_average","genre.1","genre.2","genre.3","Director","actor.1","actor.2","actor.3","Action","Adventure","Animation","Comedy","Crime","Drama","Family","Fantasy","History","Horror","Music","Mystery","Romance","Science.Fiction","Thriller","War","Western"
"33",1025467110,6.6,"Family","Fantasy","Adventure","Tim Burton","Mia Wasikowska","Johnny Depp","Anne Hathaway","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"34",226945087,7.4,"Action","Crime","NULL","Edgar Wright","Ansel Elgort","Kevin Spacey","Lily James","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"35",109676311,8.2,"Drama","Mystery","Thriller","Christopher Nolan","Christian Bale","Hugh Jackman","Michael Caine","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0"
"36",609016565,7.3,"Adventure","Drama","Action","Ang Lee","Suraj Sharma","Irrfan Khan","Ayush Tandon","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"37",474968763,7,"Adventure","Comedy","Family","Tim Burton","Freddie Highmore","Johnny Depp","David Kelly","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"38",1045713802,6.5,"Adventure","Action","Fantasy","Rob Marshall","Johnny Depp","Penélope Cruz","Ian McShane","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"39",327803731,7.6,"Drama","Thriller","Horror","Darren Aronofsky","Natalie Portman","Mila Kunis","Vincent Cassel","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0"
"40",155760117,7.7,"Crime","Drama","Mystery","Quentin Tarantino","Samuel L. Jackson","Kurt Russell","Jennifer Jason Leigh","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0"
"41",956019788,7.3,"Action","Adventure","Fantasy","Peter Jackson","Martin Freeman","Ian McKellen","Richard Armitage","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"42",961000000,7.2,"Adventure","Fantasy","Action","Gore Verbinski","Johnny Depp","Orlando Bloom","Keira Knightley","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"43",321365567,8.6,"Drama","History","War","Steven Spielberg","Liam Neeson","Ben Kingsley","Ralph Fiennes","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0"
"44",174600318,8,"Comedy","Drama","NULL","Wes Anderson","Ralph Fiennes","Tony Revolori","F. Murray Abraham","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"45",289847354,8.1,"Drama","Thriller","Crime","Martin Scorsese","Leonardo DiCaprio","Matt Damon","Jack Nicholson","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0"
"46",47351251,7.9,"Romance","Science Fiction","Drama","Spike Jonze","Joaquin Phoenix","Scarlett Johansson","Amy Adams","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0"
"47",132511035,7.9,"Action","Thriller","Fantasy","James McTeigue","Natalie Portman","Hugo Weaving","Stephen Rea","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0"
"48",924317558,6.5,"Adventure","Action","Science Fiction","George Lucas","Liam Neeson","Ewan McGregor","Natalie Portman","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"49",13092000,8.4,"Drama","Music","NULL","Damien Chazelle","Miles Teller","J.K. Simmons","Paul Reiser","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0"
"50",783766341,7,"Action","Adventure","Fantasy","Sam Raimi","Tobey Maguire","Kirsten Dunst","James Franco","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
